+-----+-----------------------------------------------------------------------------------------------------+
|topic|topic_words                                                                                          |
+-----+-----------------------------------------------------------------------------------------------------+
|0    |student, studies, incidental, deserves, sins, cites, story, illness, burning, eliezer                |
|1    |mother, year, child, meat, worth, roots, paid, ate, sheshet, zuz                                     |
|2    |ultimately, breach, offering, compel, party, impure, 30, uprooted, stories, preventive               |
|3    |impure, doubt, ritually, pure, ritual, became, whether, immersed, still, teruma                      |
|4    |payment, bought, ox, money, oxen, price, tithe, hide, include, second                                |
|5    |confer, base, horizontally, uncommon, refuted, diverse, right, teacher, construction, except         |
|6    |purposes, drinking, contained, lifetime, family, beroka, complete, ruled, interior, around           |
|7    |valley, handbreadths, solstice, oral, circumstances, combines, concerning, quantity, decree, supports|
|8    |alifa, ashi, door, enable, beside, part, mattana, throw, sacrifice, karpef                           |
|9    |several, renting, 9, menashya, spanned, challenges, stores, stands, regarded, burned                 |
|10   |connected, aver, abba, intact, owners, knob, specify, secure, things, type                           |
|11   |source, originally, cites, tree, disagreement, attempts, clarify, ground, eiruv, placed              |
|12   |minimal, tithes, stalks, altar, creating, distances, stringent, added, yannai, applicable            |
|13   |board, cubit, prepare, segment, standing, suggest, distance, wall, alleyway, serve                   |
|14   |renounce, issues, sages, tent, notice, breaches, fitting, affairs, allowance, base                   |
|15   |careful, sprinkling, touch, decreased, effect, interpret, rava, dark, 7, preparation                 |
|16   |loaf, reeds, shall, forbidden, prepare, crops, half, vertical, valley, horizontal                    |
|17   |contains, enter, instead, person, moving, bath, enclosed, enough, died, vessel                       |
|18   |city, limit, thousand, walk, shabbat, cubits, limits, residence, beyond, wart                        |
|19   |cubit, kinds, diverse, six, mentioned, consisting, cubits, measured, seeds, handbreadths             |
|20   |fit, equinox, various, fallen, obvious, compel, paschal, ke, listed, conforms                        |
|21   |utz, discussion, o, permits, puts, vinegar, former, posed, breaches, significance                    |
|22   |ruling, rabban, gamliel, concerning, rabbi, contradiction, sage, statement, wishes, accordance       |
|23   |nullifies, refuted, sets, cities, inhabitants, sea, rises, sign, placed, send                        |
|24   |fleece, presents, eliezer, began, baraita, avin, amoraic, portions, fashioned, quarters              |
|25   |square, quarter, space, cubits, thousand, circle, corners, open, city, total                         |
|26   |residents, reduces, objections, hang, infers, diagonal, learns, deemed, bathe, willingly             |
|27   |refutation, conclusive, divided, sadducee, ceiling, reach, board, mesifas, separate, partitions      |
|28   |eaten, ruled, relating, twilight, taken, night, effect, leniently, despite, period                   |
|29   |inn, sages, post, told, posts, rock, town, thoroughfare, drinking, suffer                            |
|30   |analyze, rock, simply, recognizable, leap, offspring, explicitly, reasons, diaspora, dried           |
|31   |authority, body, renounces, every, flesh, single, disagreement, several, ava, ra                     |
|32   |pen, imposed, throwing, walking, stable, due, azarya, drawn, object, might                           |
|33   |utensil, albeit, center, surround, plumb, wrapped, avdimi, sleeping, six, visible                    |
|34   |movement, teams, change, maximum, rainwater, exiles, dates, sprinkled, difference, eyes              |
|35   |east, west, song, songs, letters, relation, locks, house, means, praise                              |
|36   |walks, accessible, solid, blessings, treated, olive, violation, observed, space, hour                |
|37   |priests, acquisition, cupboard, took, enter, property, acquires, valid, acquire, available           |
|38   |33, diminishes, feast, conditions, practical, pours, rested, handbreadth, lord, tablets              |
|39   |gift, distanced, prior, capacity, straightforward, convert, sage, slightly, portico, conclusive      |
|40   |curved, beam, dispute, residence, effective, rabbi, cross, declare, section, settlement              |
|41   |3, zeira, jew, category, intact, vacant, cites, enclosure, none, contradict                          |
