+-----+--------------------------------------------------------------------------------------------------------+
|topic|topic_words                                                                                             |
+-----+--------------------------------------------------------------------------------------------------------+
|0    |dump, garbage, sea, change, concerned, heap, intervene, alleyway, removed, throw                        |
|1    |alleyway, eiruv, side, post, day, valid, establish, handbreadths, cross, tree                           |
|2    |comment, sleep, suspected, explained, meaning, withheld, facing, explanations, decrees, embankment      |
|3    |standard, roof, fit, dilemma, ruin, residence, comparable, employing, ama, style                        |
|4    |regarding, final, sanctuary, diagonally, route, summakhos, suitable, remain, wisdom, allowed            |
|5    |sentenced, tax, river, objects, birth, visit, seeds, manoah, three, portion                             |
|6    |traveling, balconies, draped, regards, ends, taught, couple, residences, bucket, touch                  |
|7    |o, haven, taste, circumference, pour, first, travels, awe, hall, vis                                    |
|8    |succeed, vows, ukva, restored, courts, unattributed, ol, hall, leave, extra                             |
|9    |spent, ge, continues, factor, careful, fledged, dwell, link, existing, stories                          |
|10   |zeira, outward, move, ground, sealed, winds, didn, look, block, emerges                                 |
|11   |segment, gap, pappa, three, refutation, standing, acquisition, conclusive, sowing, sum                  |
|12   |egg, bulks, alla, little, add, 217, bulk, 207, amount, measure                                          |
|13   |restricted, category, specific, phrase, inclusion, everything, requests, items, soul, cattle            |
|14   |ascend, offerings, meaning, improve, yotzi, greatness, draped, wide, ones, hours                        |
|15   |refuse, heap, owners, belonging, acquire, gentile, concerned, likely, jewish, distinguish               |
|16   |rabban, gamliel, complete, vow, bolt, early, diaspora, festival, fast, av                               |
|17   |third, se, wilderness, tzippori, bulks, egg, sixty, jerusalem, much, seventy                            |
|18   |sown, karpef, greater, jug, part, galileans, carry, se, judgment, enigmatically                         |
|19   |terms, fortiori, verbal, analogy, thorn, snake, identical, derive, utz, argument                        |
|20   |uncommon, accord, climb, fruits, mead, ate, maker, na, underlying, institution                          |
|21   |intentionally, unwittingly, caravan, gave, carried, cancels, renders, prohibited, exigent, acquired     |
|22   |hundred, volume, baths, ritual, solomon, proverbs, sea, cubic, fifty, five                              |
|23   |ha, aretz, aver, figs, bundles, produce, tithes, suspected, averim, fig                                 |
|24   |enabling, abberin, discovered, true, money, degrading, gate, slaves, bolt, answering                    |
|25   |vineyard, cubits, reeds, kinds, diverse, vines, seeds, cubit, crops, four                               |
|26   |zav, utensil, moved, impure, riding, upon, ritually, tent, cupboard, general                            |
|27   |sage, concerning, generalization, green, tree, referring, grain, belongs, cistern, clover               |
|28   |wart, instrument, gatehouse, prohibited, house, render, homeowner, lived, hand, courtyard               |
|29   |challenging, potential, vow, ownership, allowed, sum, reenter, appears, halves, ezekiel                 |
|30   |allotted, 14, renting, alighted, state, nourishment, joins, daughter, rebelled, clearly                 |
|31   |roots, herbs, ruins, ruin, planted, tree, air, seeds, elevated, use                                     |
|32   |raw, excrement, small, fifty, fruits, nourishment, rope, large, summakhos, quantity                     |
